Protein names,Gene names,Majority protein IDs,Entry name,C: Gene ontology (biological process),C: Gene ontology (cellular component),C: Gene ontology (molecular function),C: Gene ontology (GO),Length,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,27.5,55,110,220,440,1100
Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain;Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase);Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)],argJ sll1883,P74122,ARGJ_SYNY3,arginine biosynthetic process [GO:0006526];ornithine biosynthetic process [GO:0006592],cytoplasm [GO:0005737],acetyl-CoA:L-glutamate N-acetyltransferase activity [GO:0004042];glutamate N-acetyltransferase activity [GO:0004358];methione N-acyltransferase activity [GO:0103045],acetyl-CoA:L-glutamate N-acetyltransferase activity [GO:0004042];arginine biosynthetic process [GO:0006526];cytoplasm [GO:0005737];glutamate N-acetyltransferase activity [GO:0004358];methione N-acyltransferase activity [GO:0103045];ornithine biosynthetic process [GO:0006592],413,17,17,17,56.2,43.32,0,284.2,5334400000,231,2.116542,1.90066,2.223708,1.99079,2.296778,2.223006
Renin-binding protein,slr1975,P74124,P74124_SYNY3,N-acetylglucosamine metabolic process [GO:0006044],,N-acylglucosamine 2-epimerase activity [GO:0050121],N-acetylglucosamine metabolic process [GO:0006044];N-acylglucosamine 2-epimerase activity [GO:0050121],391,11,11,11,31.7,45.629,0,225.63,2247500000,176,0.5314582,0.6277324,0.7989246,0.7897422,0.8251912,0.8699018
Ycf55-like protein,sll1879,P74126,YC55L_SYNY3,phosphorelay signal transduction system [GO:0000160],intracellular [GO:0005622],,intracellular [GO:0005622];phosphorelay signal transduction system [GO:0000160],562,9,9,9,19.4,63.806,0,18.359,318760000,57,0.0566225,0.06707716,0.08734528,0.09263816,0.09329436,0.0776419
ABC transporter,sll1878,P74127,P74127_SYNY3,,ATP-binding cassette (ABC) transporter complex [GO:0043190],ATP binding [GO:0005524];ATPase activity [GO:0016887];transmembrane transporter activity [GO:0022857],ATP binding [GO:0005524];ATPase activity [GO:0016887];ATP-binding cassette (ABC) transporter complex [GO:0043190];transmembrane transporter activity [GO:0022857],368,8,8,8,34.2,40.62,0,129.55,575720000,80,0.12460762,0.2924678,0.2899184,0.2377964,0.3348922,0.2940088
Slr1977 protein,slr1977,P74128,P74128_SYNY3,nucleoside metabolic process [GO:0009116],,catalytic activity [GO:0003824],catalytic activity [GO:0003824];nucleoside metabolic process [GO:0009116],244,2,2,2,10.7,26.143,0.00054735,2.8566,225410000,33,0.2242416,0.2009052,0.1491844,0.1598188,0.1626664,0.1523882
Anthranilate synthase component I-like protein (EC 4.1.3.27),trpE2 slr1979,P74130,TRE2_SYNY3,tryptophan biosynthetic process [GO:0000162],anthranilate synthase complex [GO:0005950],4-amino-4-deoxychorismate synthase activity [GO:0046820];anthranilate synthase activity [GO:0004049];metal ion binding [GO:0046872],4-amino-4-deoxychorismate synthase activity [GO:0046820];anthranilate synthase activity [GO:0004049];anthranilate synthase complex [GO:0005950];metal ion binding [GO:0046872];tryptophan biosynthetic process [GO:0000162],485,3,3,3,7,54.27,0,3.7432,77561000,16,0.03200316,0.027775375,0.02062844,0.02793636,0.021199848,0.02513936
Sll1873 protein,sll1873,P74135,P74135_SYNY3,,,,,121,13,13,13,77.7,12.906,0,323.31,38345000000,451,83.22966,59.6684,41.27746,43.79704,45.4404,36.8013
Membrane bound protein LytR,lytR,P74136,P74136_SYNY3,,,,,463,6,6,6,17.7,50.774,0,31.81,693740000,87,0.2405704,0.2757472,0.2733346,0.251184,0.2624988,0.2747776
Sensory transduction histidine kinase,sll1871,P74137,P74137_SYNY3,,integral component of membrane [GO:0016021];intracellular [GO:0005622],ATP binding [GO:0005524];phosphorelay sensor kinase activity [GO:0000155],ATP binding [GO:0005524];integral component of membrane [GO:0016021];intracellular [GO:0005622];phosphorelay sensor kinase activity [GO:0000155],674,2,2,2,3.9,74.934,0,4.6587,58386000,23,0.0227591,0.018787325,0.01301746,0.013913343,0.014809475,0.0135232
CheY subfamily,slr1982,P74138,P74138_SYNY3,phosphorelay signal transduction system [GO:0000160],intracellular [GO:0005622],,intracellular [GO:0005622];phosphorelay signal transduction system [GO:0000160],123,3,3,3,35.8,13.659,0,25.894,232500000,27,0.94268775,0.7314282,0.454535,0.506008,0.6767304,0.576906
Regulatory components of sensory transduction system,slr1983,P74139,P74139_SYNY3,,intracellular [GO:0005622],phosphorelay sensor kinase activity [GO:0000155],intracellular [GO:0005622];phosphorelay sensor kinase activity [GO:0000155],603,9,9,9,21.6,66.707,0,45.811,466210000,88,0.07236004,0.14137778,0.16546392,0.13796336,0.1799982,0.15545356
30S ribosomal protein S1 homolog B,rps1b slr1984,P74142,RS1B_SYNY3,,ribosome [GO:0005840],RNA binding [GO:0003723],ribosome [GO:0005840];RNA binding [GO:0003723],305,12,12,12,52.1,33.795,0,312.13,3309900000,141,1.1722382,1.2252994,1.292582,1.2314832,1.45958,1.518646
Sll1866 protein,sll1866,P74144,P74144_SYNY3,regulation of translational fidelity [GO:0006450];tRNA threonylcarbamoyladenosine modification [GO:0002949],cytoplasm [GO:0005737],double-stranded RNA binding [GO:0003725];nucleotidyltransferase activity [GO:0016779];tRNA binding [GO:0000049],cytoplasm [GO:0005737];double-stranded RNA binding [GO:0003725];nucleotidyltransferase activity [GO:0016779];regulation of translational fidelity [GO:0006450];tRNA binding [GO:0000049];tRNA threonylcarbamoyladenosine modification [GO:0002949],199,5,5,5,39.7,21.634,0,9.3723,227400000,18,0.183554,0.13403716,0.1349568,0.13142626,0.10340544,0.17791666
Sll1390 protein,sll1390,P74145,P74145_SYNY3,,integral component of membrane [GO:0016021];plasma membrane-derived thylakoid photosystem II [GO:0030096],,integral component of membrane [GO:0016021];plasma membrane-derived thylakoid photosystem II [GO:0030096],249,8,8,8,44.2,27.394,0,162.76,2085600000,82,2.79096,2.670548,1.998474,2.071604,1.5302346,1.192759
Universal stress protein Sll1388 (USP Sll1388),sll1388,P74148,Y1388_SYNY3,response to stress [GO:0006950],,,response to stress [GO:0006950],154,6,6,6,23.4,17.292,0,20.509,354800000,19,0.5354814,0.476362,0.4185566,0.558621,0.5076644,0.2853314
Precorrin isomerase,slr1467,P74152,P74152_SYNY3,cobalamin biosynthetic process [GO:0009236],,precorrin-8X methylmutase activity [GO:0016993],cobalamin biosynthetic process [GO:0009236];precorrin-8X methylmutase activity [GO:0016993],222,4,4,4,29.7,24.62,0,13.55,366630000,58,0.3029246,0.270067,0.2184474,0.3117154,0.2566618,0.226991
Tymocyte protein cThy28kD,slr1468,P74153,P74153_SYNY3,,,,,149,3,3,3,17.4,16.75,0,6.8091,235950000,32,0.331072,0.2449296,0.2007988,0.2630802,0.23897,0.242354
Slr1470 protein,slr1470,P74154,P74154_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],131,5,5,5,27.5,14.902,0,122.35,3812400000,111,8.392232,6.327526,4.833968,5.697738,5.252006,5.00539
Membrane protein insertase YidC (Alb3) (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC) (Oxa1) (SynYidC),yidC alb3 slr1471,P74155,YIDC_SYNY3,protein insertion into membrane [GO:0051205];protein transport [GO:0015031],integral component of membrane [GO:0016021];plasma membrane [GO:0005886],,integral component of membrane [GO:0016021];plasma membrane [GO:0005886];protein insertion into membrane [GO:0051205];protein transport [GO:0015031],384,16,16,16,41.4,42.626,0,323.31,5321900000,192,2.501458,2.580952,2.24702,2.479516,2.469294,2.367414
Sll1384 protein,sll1384,P74157,P74157_SYNY3,,,,,314,14,14,14,43.9,34.545,0,176.71,2953700000,199,1.183876,1.1348542,1.0231496,1.1348038,1.0974186,0.8822946
Inositol-1-monophosphatase (I-1-Pase) (IMPase) (Inositol-1-phosphatase) (EC 3.1.3.25),suhB sll1383,P74158,SUHB_SYNY3,inositol metabolic process [GO:0006020];inositol phosphate dephosphorylation [GO:0046855];phosphatidylinositol phosphorylation [GO:0046854];signal transduction [GO:0007165],,inositol monophosphate 1-phosphatase activity [GO:0008934];inositol monophosphate 3-phosphatase activity [GO:0052832];inositol monophosphate 4-phosphatase activity [GO:0052833];metal ion binding [GO:0046872],inositol metabolic process [GO:0006020];inositol monophosphate 1-phosphatase activity [GO:0008934];inositol monophosphate 3-phosphatase activity [GO:0052832];inositol monophosphate 4-phosphatase activity [GO:0052833];inositol phosphate dephosphorylation [GO:0046855];metal ion binding [GO:0046872];phosphatidylinositol phosphorylation [GO:0046854];signal transduction [GO:0007165],287,7,7,7,32.1,31.296,0,125.61,676450000,133,0.4473118,0.4109374,0.3759198,0.4121188,0.3940282,0.267058
Ferredoxin,petF,P74159,P74159_SYNY3,,,"2 iron, 2 sulfur cluster binding [GO:0051537];electron transfer activity [GO:0009055]","2 iron, 2 sulfur cluster binding [GO:0051537];electron transfer activity [GO:0009055]",122,3,3,3,24.6,13.838,0,9.1322,246370000,10,0.3968396,0.4083682,0.3216412,0.2866524,0.387031,0.3976082
Slr1474 protein,slr1474,P74160,P74160_SYNY3,,,,,269,3,3,3,19.7,30.437,0,6.9402,81653000,21,0.0557016,0.0553692,0.05551754,0.0701085,0.06592536,0.06614114
Sll1380 protein,sll1380,P74162,P74162_SYNY3,,outer membrane-bounded periplasmic space [GO:0030288],,outer membrane-bounded periplasmic space [GO:0030288],214,12,12,12,70.6,23.884,0,242.73,4241300000,156,1.881202,2.007102,2.081564,1.956714,2.240172,2.44563
Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase),pyrB slr1476,P74163,PYRB_SYNY3,cellular amino acid metabolic process [GO:0006520];'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207];'de novo' UMP biosynthetic process [GO:0044205];pyrimidine ribonucleotide biosynthetic process [GO:0009220],cytoplasm [GO:0005737],amino acid binding [GO:0016597];aspartate carbamoyltransferase activity [GO:0004070],amino acid binding [GO:0016597];aspartate carbamoyltransferase activity [GO:0004070];cellular amino acid metabolic process [GO:0006520];cytoplasm [GO:0005737];'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207];'de novo' UMP biosynthetic process [GO:0044205];pyrimidine ribonucleotide biosynthetic process [GO:0009220],331,5,5,5,20.5,36.393,0,7.7769,234200000,34,0.06971308,0.07918618,0.0706763,0.08864426,0.08203278,0.10143416
"Beta-monoglucosyldiacylglycerol synthase (Beta-MGS) (MGlcDAG synthase) (EC 2.4.1.336) (UDP-glucose:1,2-diacylglycerol 3-beta-D-glucosyltransferase)",sll1377,P74165,BMGDS_SYNY3,glycerol metabolic process [GO:0006071];membrane lipid biosynthetic process [GO:0046467],integral component of membrane [GO:0016021],"magnesium ion binding [GO:0000287];transferase activity, transferring hexosyl groups [GO:0016758]","glycerol metabolic process [GO:0006071];integral component of membrane [GO:0016021];magnesium ion binding [GO:0000287];membrane lipid biosynthetic process [GO:0046467];transferase activity, transferring hexosyl groups [GO:0016758]",479,6,6,6,18,54.134,0,24.69,327070000,45,0.1007234,0.1034288,0.11677984,0.09977618,0.09433612,0.09269186
Monoglucosyldiacylglycerol epimerase (GlcDG epimerase) (EC 5.1.3.34),MgdE sll1376,P74167,MGDE_SYNY3,glycerol metabolic process [GO:0006071];lipid metabolic process [GO:0006629];photosynthesis [GO:0015979],integral component of membrane [GO:0016021],"racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]","glycerol metabolic process [GO:0006071];integral component of membrane [GO:0016021];lipid metabolic process [GO:0006629];photosynthesis [GO:0015979];racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]",410,8,8,8,23.2,45.955,0,55.037,615490000,44,0.15128782,0.19383,0.1757444,0.2004236,0.2183,0.250912
Catabolite gene activator protein,sll1371,P74171,P74171_SYNY3,"positive regulation of transcription, DNA-templated [GO:0045893];transcription, DNA-templated [GO:0006351]",protein-DNA complex [GO:0032993],"bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding [GO:0001216];transcription regulatory region sequence-specific DNA binding [GO:0000976]","bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding [GO:0001216];positive regulation of transcription, DNA-templated [GO:0045893];protein-DNA complex [GO:0032993];transcription regulatory region sequence-specific DNA binding [GO:0000976];transcription, DNA-templated [GO:0006351]",232,6,6,6,26.7,26.099,0,43.68,421970000,26,0.262157,0.247741,0.2104664,0.2397852,0.2036884,0.1979158
GDP-mannose pyrophosphorylase,rfbM,P74172,P74172_SYNY3,biosynthetic process [GO:0009058],,"nucleotidyltransferase activity [GO:0016779];transferase activity, transferring glycosyl groups [GO:0016757]","biosynthetic process [GO:0009058];nucleotidyltransferase activity [GO:0016779];transferase activity, transferring glycosyl groups [GO:0016757]",367,7,7,7,27,40.464,0,50.723,786180000,58,0.2716162,0.3316388,0.3289406,0.3510286,0.3106546,0.2841988
HlyD family of secretion proteins,hlyD,P74175,P74175_SYNY3,protein secretion [GO:0009306],integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021];protein secretion [GO:0009306],583,41,41,41,78.9,64.707,0,323.31,12319000000,641,1.692666,2.066466,2.367602,2.283386,2.598782,3.073098
HlyB family,hlyB,P74176,P74176_SYNY3,protein secretion by the type I secretion system [GO:0030253],integral component of membrane [GO:0016021];type I protein secretion system complex [GO:0030256],ATP binding [GO:0005524];lipid-transporting ATPase activity [GO:0034040];peptidase activity [GO:0008233];protein transporter activity [GO:0008565],ATP binding [GO:0005524];integral component of membrane [GO:0016021];lipid-transporting ATPase activity [GO:0034040];peptidase activity [GO:0008233];protein secretion by the type I secretion system [GO:0030253];protein transporter activity [GO:0008565];type I protein secretion system complex [GO:0030256],1011,43,43,43,53.3,112.09,0,323.31,11817000000,625,1.1492318,1.3774438,1.601256,1.673576,2.133074,2.484712
DNA-directed RNA polymerase subunit gamma (RNAP subunit gamma) (EC 2.7.7.6) (RNA polymerase subunit gamma) (Transcriptase subunit gamma),rpoC1 slr1265,P74177,RPOC1_SYNY3,"transcription, DNA-templated [GO:0006351]",,DNA binding [GO:0003677];DNA-directed 5'-3' RNA polymerase activity [GO:0003899],"DNA binding [GO:0003677];DNA-directed 5'-3' RNA polymerase activity [GO:0003899];transcription, DNA-templated [GO:0006351]",626,35,35,35,52.7,70.977,0,323.31,42640000000,740,6.41614,8.013722,9.289594,8.679478,10.173644,11.14467
Uncharacterized protein sll1178,sll1178,P74178,Y1178_SYNY3,biosynthetic process [GO:0009058],,transferase activity [GO:0016740],biosynthetic process [GO:0009058];transferase activity [GO:0016740],615,18,18,18,31.4,69.141,0,154.89,2204000000,225,0.5301434,0.5333264,0.4662746,0.4652028,0.5592304,0.4719518
Slr1266 protein,slr1266,P74179,P74179_SYNY3,,,,,185,2,2,2,19.5,19.529,0,6.6485,149890000,49,0.2296752,0.3008418,0.2694294,0.310309,0.2668032,0.228923
Probable peptidoglycan glycosyltransferase FtsW (PGT) (EC 2.4.1.129) (Cell division protein FtsW) (Cell wall polymerase) (Peptidoglycan polymerase) (PG polymerase),ftsW slr1267,P74180,FTSW_SYNY3,cell cycle [GO:0007049];cell division [GO:0051301];cell wall organization [GO:0071555];peptidoglycan biosynthetic process [GO:0009252];regulation of cell shape [GO:0008360],integral component of membrane [GO:0016021];plasma membrane [GO:0005886],peptidoglycan glycosyltransferase activity [GO:0008955],cell cycle [GO:0007049];cell division [GO:0051301];cell wall organization [GO:0071555];integral component of membrane [GO:0016021];peptidoglycan biosynthetic process [GO:0009252];peptidoglycan glycosyltransferase activity [GO:0008955];plasma membrane [GO:0005886];regulation of cell shape [GO:0008360],393,2,2,2,8.4,43.038,0,5.0203,58921000,8,0.021311508,0.02558058,0.0403367,0.03912678,0.03357532,0.03607074
Glutathione hydrolase proenzyme (EC 3.4.19.13) (Gamma-glutamyltranspeptidase proenzyme) (EC 2.3.2.2) [Cleaved into: Glutathione hydrolase large chain;Glutathione hydrolase small chain],ggt slr1269,P74181,GGT_SYNY3,glutathione biosynthetic process [GO:0006750];glutathione catabolic process [GO:0006751],,glutathione hydrolase activity [GO:0036374];hypoglycin A gamma-glutamyl transpeptidase activity [GO:0102953];leukotriene C4 gamma-glutamyl transferase activity [GO:0103068],glutathione biosynthetic process [GO:0006750];glutathione catabolic process [GO:0006751];glutathione hydrolase activity [GO:0036374];hypoglycin A gamma-glutamyl transpeptidase activity [GO:0102953];leukotriene C4 gamma-glutamyl transferase activity [GO:0103068],518,5,5,5,14.1,55.988,0,17.28,149730000,48,0.03413072,0.0389449,0.04226512,0.0299752,0.05253616,0.0671574
Slr1270 protein,slr1270,P74182,P74182_SYNY3,,outer membrane-bounded periplasmic space [GO:0030288],efflux transmembrane transporter activity [GO:0015562];identical protein binding [GO:0042802],efflux transmembrane transporter activity [GO:0015562];identical protein binding [GO:0042802];outer membrane-bounded periplasmic space [GO:0030288],526,13,13,13,39.5,57.734,0,96.514,730860000,79,0.2298712,0.1860848,0.1743078,0.2138126,0.2163648,0.1989578
UDP-N-acetyl-D-mannosaminuronic acid transferase,rffM,P74183,P74183_SYNY3,biosynthetic process [GO:0009058],,"transferase activity, transferring glycosyl groups [GO:0016757]","biosynthetic process [GO:0009058];transferase activity, transferring glycosyl groups [GO:0016757]",246,4,4,4,19.5,28.126,0,21.018,370380000,88,0.2062678,0.18485718,0.213199,0.2306642,0.2121918,0.1911422
Slr1272 protein,slr1272,P74184,P74184_SYNY3,,,,,254,9,9,9,46.1,28.029,0,115.35,492680000,125,0.28716,0.2553448,0.2615986,0.3455414,0.3393854,0.2327208
Slr1273 protein,slr1273,P74185,P74185_SYNY3,,,,,146,3,3,3,30.1,15.714,0,13.802,1126700000,86,2.02549,1.6686182,1.3075224,1.345182,1.364918,1.137151
Membrane protein,pilM,P74186,P74186_SYNY3,,,,,367,17,17,17,49.6,40.879,0,251.94,4215500000,240,1.978984,1.856736,1.596974,1.532018,1.7069036,1.494996
Slr1275 protein,slr1275,P74187,P74187_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],284,6,6,6,32,30.034,0,231.14,789290000,115,0.8786928,0.8325876,0.750743,0.7031628,0.7547818,0.614316
Slr1276 protein,slr1276,P74188,P74188_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],275,4,4,4,23.6,30.067,0,207.62,1108100000,117,1.3873246,1.326396,1.2397458,1.323544,1.2054018,0.7853578
General secretion pathway protein D,gspD,P74189,P74189_SYNY3,protein secretion [GO:0009306],cell outer membrane [GO:0009279],,cell outer membrane [GO:0009279];protein secretion [GO:0009306],785,18,18,18,34.8,84.641,0,323.31,4645100000,425,0.9503104,0.946308,1.079312,1.1641608,1.181236,0.9069362
Sll1173 protein,sll1173,P74191,P74191_SYNY3,,,,,244,7,7,7,38.1,28.014,0,52.323,556450000,79,0.2140428,0.22686,0.2596244,0.2587928,0.3013622,0.2910024
Threonine synthase (TS) (EC 4.2.3.1),thrC sll1172,P74193,THRC_SYNY3,threonine biosynthetic process [GO:0009088],cytoplasm [GO:0005737],pyridoxal phosphate binding [GO:0030170];threonine synthase activity [GO:0004795],cytoplasm [GO:0005737];pyridoxal phosphate binding [GO:0030170];threonine biosynthetic process [GO:0009088];threonine synthase activity [GO:0004795],382,11,11,11,46.3,40.414,0,323.31,4903100000,293,1.899924,2.183382,2.376902,2.31985,2.596094,2.47188
Transposase,slr1282,P74195;P74627;P74059,P74195_SYNY3,,,DNA binding [GO:0003677],DNA binding [GO:0003677],119,2,2,2,16.8,13.932,0,4.6427,187570000,21,0.662945525,0.140642533,0.13448318,0.11562615,0.3406246,0.4024114
